58710;SURREY S.A.;0991095020001;ECUADOR;GERENTE GENERAL;2019-07-01; ;5;2019-07-16;NNN;1506;;MARTINEZ VELASQUEZ ISIDORO RICARDO
135114;CAROZELI S.A.;0992631821001;ECUADOR;GERENTE GENERAL;2018-11-06; ;5;2018-11-12;27;295;;MARTINEZ VELASQUEZ ISIDORO RICARDO
132320;AFITGER S.A.;0992589078001;ECUADOR;PRESIDENTE;2013-11-27; ;5;2013-12-11;27;3832;;MARTINEZ VELASQUEZ ISIDORO RICARDO
93690;TUPETROL S.A.;1791854306001;ECUADOR;PRESIDENTE;2008-02-20; ;2;2008-03-06;30;2415;;MARTINEZ VELASQUEZ ISIDORO RICARDO
;;;;;;;;;;;;CHICAIZA ALVARADO PEDRO GIOVANNY
;;;;;;;;;;;;CONSORCIO CASUARINA
;;;;;;;;;;;;CONSORCIO CEMENTERIO SUBURBIO
;;;;;;;;;;;;ROCHE ECUADOR S.A.
;;;;;;;;;;;;APOLO APOLO JOSE GONZALO
;;;;;;;;;;;;DIMPROKEL SA
99675;GUSTAVO CAMACHO COMERCIO Y SEGURIDAD S.A.;0992108290001;ECUADOR;GERENTE GENERAL;2019-01-15; ;2;2019-01-22;30;856;;CAMACHO JORDAN FULTON ANTONIO
;;;;;;;;;;;;ANDRADE LARA JAVIER ROBERTO
;;;;;;;;;;;;INTERBIOTIK CIA. LTDA.
;;;;;;;;;;;;9,92E+11
109391;ENDELCAR ENDEREZADORA DE CARROS S.A.;0992263261001;ECUADOR;PRESIDENTE;2017-12-21; ;1;2017-12-29;24;1210;;GUACHO AMAYA ANA ALEXANDRA
;;;;;;;;;;;;MEGA SANTAMARIA S.A.
;;;;;;;;;;;;TIENDAS INDUSTRIALES ASOCIADAS TIA S. A.
;;;;;;;;;;;;TRENWELL SDRL
;;;;;;;;;;;;LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS LIFE C.A.
;;;;;;;;;;;;PARRALES BAQUERIZO NARCISA DEL PILAR
;;;;;;;;;;;;LATINKURSA PROYECTOS ESTRATEGICOS S A
;;;;;;;;;;;;MORENO VACA FRANCISCO ALEJANDRO
;;;;;;;;;;;;CORPORACION FAVORITA C.A.
307514;ALL CLEAN ECUADOR ECCLEAN CIA.LTDA.;0993037737001;ECUADOR;GERENTE GENERAL;2017-07-12; ;5;2017-07-19;6;8484;;NEIRA CANTOS JORGE ENRIQUE
